Name,CapType,Material,Shape,EdgeType,Colour,Design,CountryOrigin,BeverageType,Quantity,Notes
Arla Cravendale,Screw Cap,Plastic,Circle,Milled,Green,Arla,Denmark,Milk,1,
Strathmore Still,Screw Cap,Metal,Circle,Milled,Blue,Strathmore Still,"Alberta, Canada",Still Water,2,
Harrogate,Screw Cap,Metal,Circle,Milled,Black,Harrogate Spring Water,"North Yorkshire, England",Still Water,1,
Marks & Spencers,Screw Cap,Metal,Circle,Milled,Black,M&S,"Leeds, England",Still Water,1,
Evian,Screw Cap,Metal,Circle,Milled,Silver,evian,France,Still Water,1,
Mai Dubai,Screw Cap,Plastic,Circle,Milled,Red,Mai Dubai,United Arab Emirates,Still Water,1,
jeema,Screw Cap,Plastic,Circle,Milled,Blue,jeema,United Arab Emirates,Still Water,1,
Highland Spring,Screw Cap,Plastic,Circle,Milled,Blue,Highland Spring,Scotland,Still Water,1,
Fever Tree,Crown Cap,Metal,Circle,Crown,Silver & Black,Fever Tree,England,Tonic Water,1,
Simple Aloe Vera,Screw Cap,Plastic,Circle,Milled,White & Green,Simple Aloe Vera,China,Juice,1,
Tymbark Apple Juice,Pull-off bottle cap,Metal,Circle,Milled,Green,Tymbark,Romania,Juice,1,
Oasis - Blackcurrant Apple,Screw Cap,Plastic,Circle,Milled,Blue,Oasis,France,Juice,1,
Innocent Drinks - Strawberries & Banana,Screw Cap,Plastic,Circle,Milled,White,100% recyclable bottle & cap,United Kingdom of Great Britain & Northern Ireland,Juice,1,
J2O - Apple & Raspberry,Crown Cap,Metal,Circle,Crown,Green & White,J2O,United Kingdom,Soda,1,
Asahi,Screw Cap,Metal,Circle,Crown,Silver with Black Lettering,Asahi,Japan,Beer,2,
Corona Extra,Crown Cap,Metal,Circle,Crown,Blue & White,Corona Extra,"Mexico City, Mexico",Beer,2,
Perlenbacher,Screw Cap,Metal,Circle,Crown,Gold & Black,Lion,Germany,Beer,1,
Peroni,Crown Cap,Metal,Circle,Crown,Silver,Peroni Chill Lemon,"Vigevano, Italy",Pilsner Beer,1,
Moet & Chandon,Cork,Cork Oak Tree,Circle,Smooth,Brown,Moet & Chandon,France,Champagne,1,
Boe Gin,Screw Cap,Plastic ,Circle,Milled,Black & White,Boe Gin,Britain,Gin,1,
Budweiser,Crown Cap,Metal,Circle,Crown,Red,Crown,United States,Lager,2,
Tennents,Crown Cap,Metal,Circle,Crown,Gold & Red,T,Scotland,Lager,1,
Messina 15,Crown Cap,Metal,Circle,Crown,Gold,15,"Pelliconi, Italy",Lager,1,
Madri,Screw Cap,Metal,Circle,Crown,Black & White,Madri,Britain,Lager,1,
Allini,Cork with muselet (wire cage),Cork & Metal,Circle,Smooth,Black,Allini,"Veneto, Italy",Prosecco,1,
Malibu,Screw Cap,Metal,Circle,Milled,Black & Yellow,Malibu,Canada,Rum,1,
Captain Morgan,Screw Cap,Metal,Circle,Milled,Gold,Captain Morgan Rum Company,United States Virgin Islands,Rum,1,
Diam Bouchage,Cork,Cork Oak Tree,Circle,Smooth,Brown,Mytik Diam,"C�ret, Occitanie,�France",Sparkling Wine,1,
Barbican,Crown Cap,Metal,Circle,Crown,Blue & Silver,Barbican,Dubai,Soda,1,
Pepsi Max - Plastic,Screw Cap,Plastic,Circle,Milled,Black,Open By Hand,United States,Soda,1,
Diet Coke - Plastic PRM,Screw Cap,Plastic,Circle,Milled,Silver,Please Recycle Me,United States,Soda,1,
Coca Cola Cherry - Plastic,Screw Cap,Plastic,Circle,Milled,Red,Classic Cherry Coca Cola,United States,Soda,1,
Coke Zero - Plastic PRM,Screw Cap,Plastic,Circle,Milled,Black,Please Recycle Me,United States,Soda,1,
Coca Cola - Plastic,Screw Cap,Plastic,Circle,Milled,Red & Black,Coca Cola,United States,Soda,1,
Coca Cola - Plastic IAATRT,Screw Cap,Plastic,Circle,Milled,Red,I Am Attached To Recycle Together,United States,Soda,1,
Coke Zero Vanilla - Plastic,Screw Cap,Plastic,Circle,Milled,Off White & Black,Zero Sugar Vanilla Coca Cola,United States,Soda,1,
Fanta - Plastic PRM,Screw Cap,Plastic,Circle,Milled,Orange & Blue,Please Recycle Me,Germany,Soda,1,
Fanta Fruit Twist - Plastic PRM,Screw Cap,Plastic,Circle,Milled,Red & Blue,Please Recycle Me,Germany,Soda,1,
Mirinda Orange,Screw Cap,Plastic,Circle,Milled,Orange,Mirinda,Spain,Soda,1,
Irn Bru - Plastic,Screw Cap,Plastic,Circle,Milled,Blue,Irn Bru,Scotland,Soda,1,
7up Free - Plastic,Screw Cap,Plastic,Circle,Milled,Lime Green,7up Free,United States,Soda,1,
Pepsi - Metal,Crown Cap,Metal,Circle,Crown,"Blue, Red, White, Silver",Logo,United States,Soda,1,
fritz-kola - B&W,Crown Cap,Metal,Circle,Crown,Black & White,Fritz-Kola,"Hamburg, Germany",Soda,2,
fritz-kola - O&W,Crown Cap,Metal,Circle,Crown,Orange & White,Fritz-Kola,"Hamburg, Germany",Soda,1,
Karma Drinks - O&B,Screw Cap,Metal,Circle,Milled,Orange & Blue,Karma Drinks,New Zealand,Soda,1,
Karma Drinks - O&G,Screw Cap,Metal,Circle,Milled,Orange & Green,Karma Drinks,New Zealand,Soda,1,
Diet Coke - Metal,Crown Cap,Metal,Circle,Crown,Silver,Diet Coke,United States,Soda,2,
Coke Zero - Metal,Crown Cap,Metal,Circle,Crown,Black,Please Recycle Me,United States,Soda,4,
Coca Cola - Metal,Crown Cap,Metal,Circle,Crown,Red & White,Please Recycle Me,United States,Soda,1,
Irn Bru - Metal,Screw Cap,Metal,Circle,Milled,Dark Blue,Irn Bru,Scotland,Soda,2,
Fanta - Metal,Crown Cap,Metal,Circle,Crown,Orange & Blue,Fanta,Germany,Soda,1,
Orangina,Crown Cap,Metal,Circle,Crown,Silver & Blue,Orangina,Algeria,Soda,1,
Schweppes - Orange,Crown Cap,Metal,Circle,Crown,Orange & Blue,Schweppes,"Geneva, Switzerland",Soda,1,
Sprite - Metal,Crown Cap,Metal,Circle,Crown,Silver,Sprite,Germany,Soda,2,
Mirinda - Metal,Screw Cap,Metal,Circle,Crown,Orange with Silver Outer Ring,Mirinda,Spain,Soda,1,
Jarritos,Screw Cap,Metal,Circle,Crown,Silver with White Middle and Orange Circle,Jarritos,Mexico,Soda,4,
Coke Zero - Arabic,Crown Cap,Metal,Circle,Crown,Black & White,Coca Cola Zero Calories,United States,Soda,2,Found in Dubai with Arabic Writing
Coca Cola - Arabic,Crown Cap,Metal,Circle,Crown,Red & White,Coca Cola,United States,Soda,1,Found in Dubai with Arabic Writing
Diet Coke - Arabic,Crown Cap,Metal,Circle,Crown,Silver & Black,Coca Cola Light,United States,Soda,1,Found in Dubai with Arabic Writing
Fanta - Arabic,Crown Cap,Metal,Circle,Crown,Orange & Blue,Fanta,Germany,Soda,1,Found in Dubai with Arabic Writing
Sprite - Arabic,Crown Cap,Metal,Circle,Crown,Green & White,Sprite,Germany,Soda,1,Found in Dubai with Arabic Writing
Fanta Strawberry - Arabic,Crown Cap,Metal,Circle,Crown,Maroon,Fanta,Germany,Soda,1,Found in Birmingham next to Mr. T's with Arabic Writing
Unknown 1 - Green Apple,Screw Cap,Metal,Circle,Milled,Light Green,Green Apple,,Juice,1,
Unknown 2 - Light Green Recycle Me,Screw Cap,Plastic,Circle,Milled,Light Green,Recycle Me,,Soda,1,
Unknown 3 - Silver Barr,Crown Cap,Metal,Circle,Crown,Silver,Barr,,Soda,2,
Unknown 4 - Silver Sicilia,Crown Cap,Metal,Circle,Crown,Silver,Bibite Sicilia,Italy,Alcohol,1,
Unknown 5 - Silver Bird,Crown Cap,Metal,Circle,Crown,Silver,Bird,,Alcohol,1,
Unknown 6 - Red JG,Screw Cap,Metal,Circle,Milled,Red,Red JG,,Alcohol,1,
Unknown 7 - Green IAATRT,Screw Cap,Plastic,Circle,Milled,Green,I Am Attached To Recycle Together,,Soda,1,
Unknown 8 - Gold 10 2027,Crown Cap,Metal,Circle,Crown,Gold,10/2027 L5302A 03:17,,Alcohol,1,
